County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Barron County, WI",100.7093441,1,10,6,29,147,437,18,2,45676,3.66,4.0,1.4722222222222223,50,45.467617444742025,-91.75472084497645
"Trego County, KS",100.6711409,0,2,0,1,8,27,3,1,2980,3.575,4.0,1.1875,20,38.99188839238561,-99.84292522168622
"Carroll County, KY",100.4291062,1,3,0,7,56,101,12,3,10953,3.338709677419355,3.5,1.3636363636363635,31,38.70776843777967,-85.10005422804062
"Randolph County, IL",100.3344482,0,4,2,27,62,184,9,1,32890,3.8461538461538463,4.5,1.2857142857142858,13,37.940741753147336,-89.8435970818178
"Grant County, MN",100.1836701,0,4,0,2,37,52,7,0,5989,4.25,4.25,1.4285714285714286,12,45.977779540379814,-95.87639028526462
"Chase County, NE",100.0,0,1,0,3,5,29,1,0,4000,4.083333333333333,4.25,1,6,40.543767593424754,-101.66407154386567
"Wyoming County, PA",99.98928686,0,7,1,20,99,274,25,2,28003,3.6666666666666665,4.0,1.4736842105263157,33,41.54732186081131,-75.96088010256024
"Red Willow County, NE",99.94548428,0,4,1,6,50,211,13,4,11006,3.94,4.0,1.4705882352941178,25,40.21362103670166,-100.58426676752885
"Gray County, KS",99.85022466,0,1,0,5,26,24,3,0,6009,3.6,4.0,1,5,37.81473898,-100.38765276
"Castro County, TX",99.626401,0,0,1,7,72,143,10,0,8030,3.2580645161290325,3.0,1.25,31,34.78561663894024,-102.38321321465351
"Norton city, VA",99.57679861,0,0,0,4,10,202,3,0,4017,3.2613636363636362,3.5,1.3870967741935485,44,36.94509203786176,-82.59746512025859
"James City County, VA",99.26825118,1,12,14,43,152,791,14,10,70516,4.15,4.0,1.8297872340425532,50,37.29375875804409,-76.72367185813408
"Logan County, OK",99.05002026,0,5,4,35,231,483,48,7,44422,3.77,4.0,1.4285714285714286,50,35.86042753397995,-97.42848049680993
"Douglas County, WA",98.80671886,1,11,7,20,260,550,32,4,39471,4.2,4.0,1.74,50,47.648415220713545,-120.04377418720772
"Franklin County, NY",98.6689367,1,14,5,31,201,710,25,2,51688,4.13,4.0,1.8541666666666667,50,44.323522995120015,-71.70469333473609
"Stephenson County, IL",98.41677364,2,9,15,20,283,839,10,5,46740,3.8,3.75,1.4634146341463414,50,42.29836814325005,-89.63883265456612
"Pickett County, TN",98.23182711,0,2,0,3,11,45,7,0,5090,3.761904761904762,4.0,1,21,36.459085746047506,-84.96056180836068
"King and Queen County, VA",98.17671809,0,1,0,6,13,9,6,2,7130,4.19,4.0,1.608695652173913,50,37.624117405595605,-76.94332790674949
"Hendricks County, IN",98.12904945,0,10,20,121,222,1467,77,4,153879,4.11,4.0,1.5116279069767442,50,39.76708265120527,-86.43658863757614
"Martin County, MN",97.93360102,0,6,1,13,49,255,11,1,20422,3.6481481481481484,4.0,1.4545454545454546,27,43.65356873708078,-94.452998767525
"Centre County, PA",97.81020958,1,32,27,92,355,1800,42,26,155403,3.4680851063829787,3.5,1.3714285714285714,47,40.927738167185446,-77.75713523779761
